Team name,Team code,Participant count,Participant IDs,State,Deployment duration,AWS account ID,Join event URL,Last joined,Last account login,Last updated
"Team 1","41e6-198399-fd","","","Deployed","00:00:07","178614050047","https://catalog.us-east-1.prod.workshops.aws/join?access-code=41e6-198399-fd","","","Tue Aug 20 2024 09:16:00 GMT+0530 (India Standard Time)"
"Team 2","7892-1697c7-f2","","","Deployed","00:00:08","532849581047","https://catalog.us-east-1.prod.workshops.aws/join?access-code=7892-1697c7-f2","","","Tue Aug 20 2024 09:16:01 GMT+0530 (India Standard Time)"
"Team 3","505d-1427ba-8e","","","Deployed","00:00:09","042737301362","https://catalog.us-east-1.prod.workshops.aws/join?access-code=505d-1427ba-8e","","","Tue Aug 20 2024 09:16:02 GMT+0530 (India Standard Time)"
"Team 4","3eac-17847b-d6","","","Deployed","00:00:09","308941808892","https://catalog.us-east-1.prod.workshops.aws/join?access-code=3eac-17847b-d6","","","Tue Aug 20 2024 09:16:01 GMT+0530 (India Standard Time)"
